,column_a,column_b,pearson,spearman,abs_difference
14,pdays,previous,0.4548196354805043,0.9856446382444941,0.5308250027639898
13,campaign,previous,-0.03285528967827956,-0.1084475906336109,0.07559230095533134
7,balance,pdays,0.0034353218681066064,0.06967568381373926,0.06624036194563265
8,balance,previous,0.01667363672835795,0.07953577638656499,0.06286213965820704
2,age,campaign,0.004760311762453712,0.037136370058295114,0.0323760582958414
11,duration,previous,0.001203056916700381,0.031174690222573388,0.02997163330587301
1,age,duration,-0.004648428470615675,-0.03325700578526784,0.02860857731465217
10,duration,pdays,-0.001564770481343491,0.028697762916152267,0.027132992434808777
12,campaign,pdays,-0.08862766791568431,-0.11228408127433112,0.023656413358646808
9,duration,campaign,-0.08456950273006171,-0.10796162729195827,0.023392124561896557
5,balance,duration,0.02156038049466889,0.04265068098789651,0.02109030049322762
6,balance,campaign,-0.014578278850766214,-0.030959122268122228,0.016380843417356013
4,age,previous,0.0012883192026692453,-0.011900086602222276,0.01061176739955303
3,age,pdays,-0.02375801411172825,-0.017468190031179127,0.006289824080549122
0,age,balance,0.09778273937134807,0.09638030477198599,0.0014024345993620818
