job,mean,std,count
retired,1984.215106007067,4397.044176809726,2264
missing,1772.357638888889,2970.288559383442,288
management,1763.6168323112709,3822.965605228312,9458
self-employed,1647.9708676377454,3684.259573163389,1579
unemployed,1521.7459708365311,3144.666753890355,1303
entrepreneur,1521.470073974445,4153.44262553599,1487
housemaid,1392.3951612903227,2984.6920975483954,1240
student,1388.0607675906183,2441.703525893989,938
technician,1252.6320916151112,2548.54401945535,7597
admin.,1135.838909301876,2641.9626857039657,5171
blue-collar,1078.8266543362104,2240.5232076046937,9732
services,997.0881078478575,2164.493504701092,4154
