feature,coefficient,abs_coefficient
age,300.8947740117811,300.8947740117811
loan_yes,-219.70411164461564,219.70411164461564
month,209.42814475819225,209.42814475819225
marital_single,188.63398844175296,188.63398844175296
poutcome_missing,-179.0237587930103,179.0237587930103
default_yes,-176.27985911138467,176.27985911138467
day_7,-161.45949050765904,161.45949050765904
day_8,-157.37370370421533,157.37370370421533
day_22,-154.7206481369231,154.7206481369231
job_management,153.49164422406398,153.49164422406398
day_5,-146.96104232718264,146.96104232718264
marital_married,141.17424456012395,141.17424456012395
day_28,-139.8507757804823,139.8507757804823
day_9,-135.8388396361716,135.8388396361716
day_27,-135.36373268229448,135.36373268229448
pdays,-130.9089327995395,130.9089327995395
day_29,-130.037152664293,130.037152664293
day_17,-129.84256275844882,129.84256275844882
day_12,-111.11086911923579,111.11086911923579
day_18,-110.61369939956772,110.61369939956772
day_26,-108.33256342379391,108.33256342379391
day_16,-105.97020278956253,105.97020278956253
day_13,-104.46265230106246,104.46265230106246
day_11,-104.3840425783035,104.3840425783035
day_4,-96.40436725017335,96.40436725017335
education,94.38962349367254,94.38962349367254
day_6,-93.48432451379782,93.48432451379782
day_25,-92.15235651398427,92.15235651398427
day_14,-91.29533016471038,91.29533016471038
day_15,-81.81649036907997,81.81649036907997
housing_yes,-81.4424841379093,81.4424841379093
day_24,-77.5184842486124,77.5184842486124
day_30,-73.6167072853732,73.6167072853732
day_31,-73.46251904601505,73.46251904601505
day_10,-70.72577143664085,70.72577143664085
day_2,-69.7392178647996,69.7392178647996
contact_telephone,66.8153226332332,66.8153226332332
day_19,-64.13504476107978,64.13504476107978
duration,60.841728781073314,60.841728781073314
day_23,-60.712377122654914,60.712377122654914
job_self-employed,58.901751770225246,58.901751770225246
job_entrepreneur,54.21154343078261,54.21154343078261
job_student,49.25602110377082,49.25602110377082
job_unemployed,47.011958148542575,47.011958148542575
campaign,-45.28328729243849,45.28328729243849
job_services,-25.052732282467787,25.052732282467787
job_missing,24.99228549277415,24.99228549277415
job_retired,21.21211494704073,21.21211494704073
day_3,-18.285218500270616,18.285218500270616
day_21,-17.313438939009075,17.313438939009075
job_housemaid,-15.230660127402246,15.230660127402246
poutcome_success,14.85388588116506,14.85388588116506
job_technician,14.821835578906644,14.821835578906644
job_blue-collar,13.23729979459066,13.23729979459066
poutcome_other,10.871815021598424,10.871815021598424
day_20,-8.311598729893404,8.311598729893404
previous,4.248316264369933,4.248316264369933
contact_missing,2.7501432961812995,2.7501432961812995
