feature,coefficient,abs_coefficient
age,300.8807888849874,300.8807888849874
loan_yes,-219.69842508975083,219.69842508975083
month,209.42589991900735,209.42589991900735
marital_single,188.6072034621278,188.6072034621278
poutcome_missing,-178.9922768592824,178.9922768592824
default_yes,-176.2763687193572,176.2763687193572
day_7,-161.07038114790012,161.07038114790012
day_8,-156.97802514575474,156.97802514575474
day_22,-154.43980727593862,154.43980727593862
job_management,153.48080884334038,153.48080884334038
day_5,-146.5633285831087,146.5633285831087
marital_married,141.1524755112254,141.1524755112254
day_28,-139.4629570431565,139.4629570431565
day_9,-135.47767332203296,135.47767332203296
day_27,-135.05003827191257,135.05003827191257
pdays,-130.87841832993018,130.87841832993018
day_29,-129.65363763456335,129.65363763456335
day_17,-129.4444776296315,129.4444776296315
day_12,-110.74238928964621,110.74238928964621
day_18,-110.18060086716626,110.18060086716626
day_26,-108.03780683335519,108.03780683335519
day_16,-105.62487810513214,105.62487810513214
day_13,-104.09720311273034,104.09720311273034
day_11,-104.0330679185498,104.0330679185498
day_4,-96.05529580083926,96.05529580083926
education,94.38975883481467,94.38975883481467
day_6,-93.08198872100681,93.08198872100681
day_25,-91.88400591465499,91.88400591465499
day_14,-90.90606744502358,90.90606744502358
housing_yes,-81.45103106018762,81.45103106018762
day_15,-81.4369376642071,81.4369376642071
day_24,-77.32224058675254,77.32224058675254
day_30,-73.25202637997707,73.25202637997707
day_31,-73.22441707002328,73.22441707002328
day_10,-70.51437906207757,70.51437906207757
day_2,-69.41190718884967,69.41190718884967
contact_telephone,66.81734982077556,66.81734982077556
day_19,-63.752177583743155,63.752177583743155
duration,60.8409607868749,60.8409607868749
day_23,-60.428083324294434,60.428083324294434
job_self-employed,58.8954674083929,58.8954674083929
job_entrepreneur,54.20627156601076,54.20627156601076
job_student,49.252522737716866,49.252522737716866
job_unemployed,47.00771821920967,47.00771821920967
campaign,-45.287392131717674,45.287392131717674
job_services,-25.06025852514227,25.06025852514227
job_missing,24.98983884537002,24.98983884537002
job_retired,21.212432585376167,21.212432585376167
day_3,-17.983279366360193,17.983279366360193
day_21,-16.905945929278623,16.905945929278623
job_housemaid,-15.233696256766285,15.233696256766285
poutcome_success,14.863315885804843,14.863315885804843
job_technician,14.813796222039928,14.813796222039928
job_blue-collar,13.224167755704126,13.224167755704126
poutcome_other,10.874552817165254,10.874552817165254
day_20,-7.837842527508376,7.837842527508376
previous,4.2519746880415195,4.2519746880415195
contact_missing,2.7504469444235604,2.7504469444235604
